,Factor1,Factor2,Factor3,Factor4
grid_position,0.3680911782961341,0.0023684519175849617,-0.048129106332895535,0.4045634899416799
quali_position,0.3680911782961348,0.0023684519175851634,-0.0481291063328954,0.4045634899416806
driver_form_points,-0.4059963837971958,-0.009729387781984296,0.0027606350949174324,0.10206600927940078
driver_form_finish,0.4143221050966912,0.0040346584316163425,0.01847614848628502,-0.1970207577110335
team_form_points,-0.3940075265191762,-0.007792989378846173,-0.002179550157615362,0.12879473813487463
team_form_finish,0.3953245869613197,0.001180175048574329,0.013539710883910086,-0.16217938738534782
driver_track_finish,0.22516109513391677,0.010372014495726393,-0.012539072968748208,0.27014430740762285
driver_reliability,-0.17380448302815504,0.03320455330160838,-0.12099864746815923,0.6985823871869888
air_temp,-0.005878620486296474,0.524280268803185,-0.21709138085371968,-0.044333631766951924
track_temp,-0.0065254809691065625,0.5578820785978721,-0.15761602006860437,-0.022557361291215782
rainfall,-0.001822808433457107,-0.40446230480436945,-0.41938985332992595,-0.023199450848528258
humidity,0.0025648767909047577,-0.4902938467858875,-0.22951139790899305,-0.026763473595782565
wind_speed,0.002424890976867659,-0.09233401753256654,0.8243163261509212,0.12572897726449225
